SP500,APPL,TSLA,MSFT,AMZN,COST
226.25,30.0,15.71,62.53,40.49,163.81
226.75,30.0,15.89,62.5,40.37,164.27
225.91,29.95,16.25,62.3,40.45,163.7
226.74,30.0,16.32,62.74,40.42,164.24
226.15,30.02,16.59,62.96,40.89,163.01
227.6,29.99,16.97,63.52,41.12,163.67
229.57,30.47,16.96,63.68,41.83,164.14
229.33,30.49,16.83,64.27,41.96,164.07
228.97,30.49,16.86,65.78,41.79,162.06
227.55,30.41,16.71,65.13,41.52,163.25
227.53,30.34,16.8,64.65,41.17,163.95
227.62,32.19,16.62,63.58,41.62,161.86
227.77,32.13,16.77,63.17,42.0,168.15
229.34,32.27,16.76,63.68,40.51,168.32
228.93,32.57,17.18,63.64,40.38,167.03
228.94,32.88,17.17,63.43,40.63,167.52
229.24,33.01,17.47,63.34,40.99,168.42
230.6,33.1,17.95,64.06,41.07,170.96
231.51,33.03,17.95,64.0,41.37,172.0
232.77,33.32,18.71,64.72,41.83,171.96
233.7,33.76,18.73,64.57,41.82,173.63
234.92,33.88,18.65,64.53,42.14,175.0
234.72,33.84,17.93,64.52,42.21,175.75
235.09,33.93,18.15,64.62,42.25,175.86
236.49,34.17,18.49,64.49,42.82,176.94
236.28,34.28,18.23,64.36,42.78,176.51
236.44,34.13,17.07,64.62,42.61,175.85
236.74,34.17,17.13,64.62,42.26,177.56
237.11,34.23,16.42,64.23,42.43,177.62
236.47,34.25,16.67,63.98,42.25,177.18
239.78,34.95,16.67,64.94,42.65,177.86
238.27,34.74,16.7,64.01,42.45,177.98
238.42,34.95,16.77,64.25,42.49,170.26
237.71,34.84,16.75,64.27,42.33,166.73
237.0,34.88,16.57,64.4,42.3,167.0
236.56,34.75,16.46,64.99,42.53,166.24
236.86,34.67,16.33,64.73,42.65,165.77
237.69,34.78,16.25,64.93,42.62,165.37
237.81,34.8,16.41,64.71,42.73,164.55
236.9,34.75,17.2,64.41,42.63,165.24
238.95,35.12,17.05,64.75,42.65,166.54
238.48,35.17,17.47,64.64,42.67,167.06
237.03,35.0,17.43,64.87,42.62,167.81
236.77,35.37,17.46,64.93,42.85,167.44
233.73,34.96,16.71,64.21,42.16,166.78
234.28,35.35,17.0,65.03,42.4,167.68
234.03,35.23,16.99,64.87,42.37,166.9
233.86,35.16,17.54,64.98,42.28,166.02
233.62,35.22,18.01,65.1,42.34,166.15
235.32,35.95,18.5,65.29,42.8,166.77
235.54,36.03,18.49,65.47,43.72,167.43
236.29,35.98,18.53,65.71,43.82,167.89
235.74,35.92,18.55,65.86,44.33,167.69
235.33,35.92,19.9,65.55,44.58,166.7
235.48,36.19,20.25,65.73,45.34,167.25
234.78,36.01,19.67,65.56,45.46,167.0
235.44,35.92,19.91,65.73,44.91,170.02
235.2,35.84,20.17,65.68,44.74,170.62
235.34,35.79,20.83,65.53,45.35,171.22
235.06,35.41,20.58,65.48,45.12,170.63
234.03,35.45,19.79,65.23,44.81,170.17
232.51,35.26,20.27,64.95,44.23,168.84
234.57,35.46,20.1,65.48,45.1,169.7
233.87,35.3,20.02,65.39,45.19,170.13
233.44,35.17,20.37,65.04,44.96,170.06
235.34,35.61,20.17,65.5,45.1,170.15
234.59,35.57,20.37,66.4,44.93,170.77
237.17,35.91,20.54,67.53,45.37,172.33
238.55,36.13,20.92,67.92,45.38,172.68
238.4,35.92,20.68,67.83,45.46,176.8
238.6,35.95,20.58,68.27,45.92,177.45
238.08,35.91,20.94,68.46,46.25,177.52
238.68,36.65,21.52,69.41,47.41,177.86
238.77,36.88,21.26,69.3,47.35,178.59
238.48,36.77,20.73,69.08,47.05,179.82
238.76,36.63,19.7,68.81,46.88,182.45
239.7,37.24,20.56,69.0,46.71,180.2
239.66,38.25,20.48,68.94,47.45,172.64
239.44,38.5,21.42,69.04,47.64,172.68
239.87,38.32,21.68,69.31,47.45,171.35
239.38,38.49,21.54,68.46,47.38,171.26
238.98,39.03,21.65,68.38,48.07,170.88
240.3,38.92,21.06,68.43,47.9,171.57
240.08,38.87,21.13,69.41,48.3,171.0
235.82,37.56,20.41,67.48,47.24,169.15
236.77,38.14,20.87,67.71,47.92,170.72
238.31,38.27,20.72,67.69,47.99,171.64
239.52,38.5,20.69,68.45,48.53,172.4
240.05,38.45,20.26,68.68,48.58,172.47
240.61,38.34,20.68,68.77,49.02,173.01
241.76,38.47,21.12,69.62,49.67,174.73
241.71,38.4,21.68,69.96,49.79,177.86
241.5,38.42,22.34,70.41,49.84,178.92
241.44,38.19,22.73,69.84,49.73,180.43
243.36,38.3,22.69,70.1,49.8,180.63
244.17,38.86,22.66,71.76,50.34,180.97
243.99,38.48,23.15,72.28,50.57,182.08
243.21,38.61,23.52,72.52,50.15,181.45
243.66,38.84,23.98,72.39,50.5,182.2
243.78,38.75,24.67,71.95,50.51,181.41
243.41,37.24,23.82,70.32,48.92,180.38
243.36,36.35,23.93,69.78,48.25,179.64
244.55,36.65,25.06,70.65,49.04,180.51
244.24,36.29,25.38,70.27,48.82,181.67
243.77,36.07,25.02,69.9,48.21,180.06
242.64,35.57,24.76,70.0,49.39,167.11
244.66,36.59,24.65,70.87,49.76,164.34
243.01,36.25,24.82,69.91,49.63,162.9
242.95,36.47,25.09,70.27,50.11,163.15
242.84,36.41,25.51,70.26,50.07,159.79
243.13,36.57,25.56,71.21,50.19,157.13
243.29,36.46,25.17,70.53,49.7,160.2
241.33,35.93,24.16,69.21,48.84,159.26
243.49,36.46,24.75,69.8,49.52,160.17
241.35,35.92,24.05,68.49,48.8,158.68
241.8,36.01,24.11,68.93,48.4,159.93
242.21,35.88,23.51,68.17,47.68,158.82
242.77,36.02,21.81,69.08,48.57,158.02
240.55,35.68,20.59,68.57,48.26,157.09
242.11,36.05,20.88,69.46,48.94,154.11
242.37,36.27,21.07,69.98,49.82,151.0
242.19,36.38,21.81,69.99,49.71,151.11
244.01,36.44,21.97,71.15,50.33,151.75
244.42,36.94,21.56,71.77,50.03,153.6
245.56,37.26,21.85,72.78,50.09,153.0
245.53,37.39,21.3,73.35,50.5,152.84
245.66,37.52,21.88,73.3,51.22,151.5
246.99,37.76,21.68,73.86,51.34,151.24
247.1,37.59,21.99,74.22,51.44,150.99
246.88,37.57,21.89,73.79,51.28,150.44
246.82,38.02,22.83,73.6,51.95,151.0
247.42,38.19,22.64,74.19,51.99,153.17
247.43,38.37,22.92,74.05,52.64,152.09
247.2,37.64,22.3,73.16,52.3,152.52
246.91,37.38,22.34,73.04,51.0,152.89
246.77,37.18,21.56,72.7,49.39,158.51
247.32,37.51,21.3,72.58,49.81,159.72
247.44,39.28,21.73,72.26,49.79,161.28
246.96,38.89,23.14,72.15,49.35,157.91
247.41,39.1,23.79,72.68,49.38,156.44
247.87,39.7,23.68,72.4,49.61,156.95
247.26,40.02,24.35,72.79,49.49,157.75
247.25,40.27,24.24,72.47,49.1,156.86
243.76,38.83,23.69,71.41,47.85,156.64
244.12,39.37,23.86,72.5,48.4,156.65
246.54,39.96,24.25,73.59,49.17,157.91
